TC_No,Mezuniyet_tarihi
80450260926,0.0
80457280438,0.0
80482253156,0.0
80485609383,0.0
80493853592,0.0
80508879862,0.0
80568682825,0.0
80583680594,0.0
80586060924,0.0
80591467965,0.0
80595857317,0.0
80628487120,0.0
80628556046,0.0
80647201766,0.0
80660070111,0.0
80660474467,0.0
80677402522,0.0
80708210925,0.0
80743890690,0.0
80752875477,0.0
80767276504,0.0
80772472700,0.0
80782698840,0.0
80784099888,0.0
80796641295,0.0
80803079353,0.0
80810453531,0.0
80843296636,0.0
80855871855,0.0
80867047655,0.0
80876897271,0.0
80877280939,0.0
80881434932,0.0
80883876398,0.0
80886832613,0.0
80886898485,0.0
80894801899,0.0
80905038121,0.0
80921281236,0.0
80921460620,0.0
80929041084,0.0
80947298595,0.0
80949441217,0.0
80952411707,0.0
80975056844,0.0
80978610208,0.0
81020848219,0.0
81029213829,0.0
81033883344,0.0
81053030825,0.0
81109018140,0.0
81110232087,0.0
81134214636,0.0
81134885031,0.0
81139228846,0.0
81147216110,0.0
81152136630,0.0
81165241950,0.0
81165254938,0.0
81178471986,0.0
81212629258,0.0
81221229107,0.0
81223080982,0.0
81236482255,0.0
81263641502,0.0
81301274967,0.0
81304605460,0.0
81305061003,0.0
81340805251,0.0
81418269804,0.0
81432636376,0.0
81439867216,0.0
81443628640,0.0
81444412399,0.0
81445699319,0.0
81464453681,0.0
81470008319,0.0
81488811587,0.0
81522018172,0.0
81558468392,0.0
81589073495,0.0
81605075946,0.0
81613820453,0.0
81616561090,0.0
81661667065,0.0
81670098300,0.0
81677429122,0.0
81682973366,0.0
81683401588,0.0
81683652031,0.0
81702460328,0.0
81730408154,0.0
81753297907,0.0
81762663993,0.0
81765414852,0.0
81844478770,0.0
81860024852,0.0
81867875427,0.0
81876448786,0.0
81885420178,0.0
