INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('81896636866', '90595699693', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('81898015140', '90620793339', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('81927010688', '90640016930', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('81933667380', '90643608404', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('81952498999', '90652273686', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('81986478282', '90699456980', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('81988256301', '90701654680', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82008487717', '90701655266', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82021452180', '90710698329', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82080678621', '90721898976', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82088727671', '90722932605', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82095073766', '90751684938', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82118843977', '90756086097', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82119624884', '90764975972', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82162061088', '90776022022', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82163210827', '90779205471', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82163251183', '90786654467', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82188793348', '90793024789', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82204492915', '90820049490', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82224832037', '90827871180', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82228456503', '90834482502', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82255008808', '90840696953', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82255603030', '90856053697', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82282429880', '90862843210', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82299454161', '90894424766', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82302673163', '90931805280', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82332198203', '90932013051', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82340896361', '90952861644', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82397627820', '90966804751', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82408440266', '91000860039', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82431653781', '91006630557', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82431684961', '91009645783', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82437448885', '91022218489', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82446484010', '91098235678', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82452831557', '91115457476', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82463052897', '91118609653', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82481045354', '91131496072', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82531681795', '91150495615', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82532285309', '91156066140', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82558259061', '91180246261', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82571035123', '91205277673', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82588221364', '91206260751', 'anne');
INSERT INTO aile_iliskisi (VTC_NO, OTC_NO, YAKINLIK) VALUES ('82613652363', '91227216082', 'anne');
