INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90595699693', 'Ellen', 'Dolton', '90595699693', '90595699693@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90620793339', 'Rupert', 'Keeble', '90620793339', '90620793339@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90640016930', 'Foster', 'Osborn', '90640016930', '90640016930@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90643608404', 'Davis', 'Noggins', '90643608404', '90643608404@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90652273686', 'Jose', 'Baxter', '90652273686', '90652273686@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90699456980', 'Fronie', 'Yeatman', '90699456980', '90699456980@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90701654680', 'Regina', 'Little', '90701654680', '90701654680@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90701655266', 'Albertus', 'Allgood', '90701655266', '90701655266@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90710698329', 'Etta', 'Russon', '90710698329', '90710698329@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90721898976', 'Isam', 'Dennis', '90721898976', '90721898976@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90722932605', 'Chancy', 'Nanton', '90722932605', '90722932605@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90751684938', 'Ena', 'King', '90751684938', '90751684938@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90756086097', 'Isabell', 'Goldsworthy', '90756086097', '90756086097@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90764975972', 'Zada', 'Ackroyd', '90764975972', '90764975972@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90776022022', 'Bennett', 'Travill', '90776022022', '90776022022@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90779205471', 'Theda', 'Mcgee', '90779205471', '90779205471@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90786654467', 'Dessie', 'Boyd', '90786654467', '90786654467@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90793024789', 'Florida', 'Oreilly', '90793024789', '90793024789@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90820049490', 'Antonio', 'Eskins', '90820049490', '90820049490@mail.com');
