TC_No,Isim,Soyisim,Tel_no,E_posta,Mezuniyet_tarihi
90595699693,Omie,Lodge,90595699693,90595699693@mail.com,
90620793339,Dell,Jarram,90620793339,90620793339@mail.com,
90640016930,Angela,Moseley,90640016930,90640016930@mail.com,
90643608404,Alvah,Ostcliffe,90643608404,90643608404@mail.com,
90652273686,Miguel,Newcombe,90652273686,90652273686@mail.com,
90699456980,Melva,Tipping,90699456980,90699456980@mail.com,
90701654680,Christian,Freeth,90701654680,90701654680@mail.com,
90701655266,George,Hoare,90701655266,90701655266@mail.com,
90710698329,Thornton,Connor,90710698329,90710698329@mail.com,
90721898976,Ivah,Beal,90721898976,90721898976@mail.com,
90722932605,Vivian,Kennard,90722932605,90722932605@mail.com,
90751684938,Diana,Hutchins,90751684938,90751684938@mail.com,
90756086097,Elihu,Ogden,90756086097,90756086097@mail.com,
90764975972,Estell,Stokoe,90764975972,90764975972@mail.com,
90776022022,Gena,Myatt,90776022022,90776022022@mail.com,
90779205471,Noble,Kingsley,90779205471,90779205471@mail.com,
90786654467,Dee,Ayling,90786654467,90786654467@mail.com,
90793024789,Waldo,Nineham,90793024789,90793024789@mail.com,
90820049490,Jean,Farrier,90820049490,90820049490@mail.com,
90827871180,Magdalene,Western,90827871180,90827871180@mail.com,
90834482502,Roy,Squire,90834482502,90834482502@mail.com,
90840696953,Earnest,Ireland,90840696953,90840696953@mail.com,
90856053697,Stanton,Cole,90856053697,90856053697@mail.com,
90862843210,Gary,Forde,90862843210,90862843210@mail.com,
90894424766,Sophronia,Gold,90894424766,90894424766@mail.com,
90931805280,Nora,Fewtrell,90931805280,90931805280@mail.com,
90932013051,James,Macmillan,90932013051,90932013051@mail.com,
90952861644,Edgar,Giblin,90952861644,90952861644@mail.com,
90966804751,Orion,Joynson,90966804751,90966804751@mail.com,
91000860039,Henry,Baird,91000860039,91000860039@mail.com,
91006630557,Ernst,Tanner,91006630557,91006630557@mail.com,
91009645783,Arrie,Crosby,91009645783,91009645783@mail.com,
91022218489,Johnie,Bear,91022218489,91022218489@mail.com,
91098235678,Adolf,Ealy,91098235678,91098235678@mail.com,
91115457476,Dicie,Ilett,91115457476,91115457476@mail.com,
91118609653,Fleming,Roffey,91118609653,91118609653@mail.com,
91131496072,Lloyd,Putt,91131496072,91131496072@mail.com,
91150495615,Sara,Newey,91150495615,91150495615@mail.com,
91156066140,Lulu,Eadie,91156066140,91156066140@mail.com,
91180246261,Adam,Jenks,91180246261,91180246261@mail.com,
91205277673,Lella,Varley,91205277673,91205277673@mail.com,
91206260751,Irene,Lawther,91206260751,91206260751@mail.com,
91227216082,Lucile,Nunn,91227216082,91227216082@mail.com,
91228469870,Wellington,Labbe,91228469870,91228469870@mail.com,
91236836179,Maye,Adrol,91236836179,91236836179@mail.com,
91244061987,Boston,Pickard,91244061987,91244061987@mail.com,
91244892076,Gordon,Kinsella,91244892076,91244892076@mail.com,
91245450772,Mamie,Brook,91245450772,91245450772@mail.com,
91278265778,Clifford,Dimmock,91278265778,91278265778@mail.com,
91286877925,Bernie,Bartlett,91286877925,91286877925@mail.com,
91373840447,Robert,Ashbridge,91373840447,91373840447@mail.com,
91381057074,Amelia,Rigley,91381057074,91381057074@mail.com,
91384006011,Maryann,Watkins,91384006011,91384006011@mail.com,
91391091027,Junious,Goff,91391091027,91391091027@mail.com,
91399000209,Mattie,Dean,91399000209,91399000209@mail.com,
91424052223,Michael,Partlett,91424052223,91424052223@mail.com,
91425630901,Artie,Duck,91425630901,91425630901@mail.com,
91456684339,Maynard,Sylvester,91456684339,91456684339@mail.com,
91462676661,Stacy,Goodyear,91462676661,91462676661@mail.com,
91464259071,Joanna,Dwyer,91464259071,91464259071@mail.com,
91542986683,Marietta,Gallo,91542986683,91542986683@mail.com,
91586068286,Sammie,Attewell,91586068286,91586068286@mail.com,
91647679534,Joseph,Rees,91647679534,91647679534@mail.com,
91672600859,Titus,Prendergast,91672600859,91672600859@mail.com,
91693851587,Drusilla,Higginson,91693851587,91693851587@mail.com,
91733035755,Leslie,Duke,91733035755,91733035755@mail.com,
91772497003,Clare,Turke,91772497003,91772497003@mail.com,
91796402260,Connie,Iddon,91796402260,91796402260@mail.com,
91829614203,Maude,Platt,91829614203,91829614203@mail.com,
91838856309,Almer,Wild,91838856309,91838856309@mail.com,
91851020737,Leora,Mcguinness,91851020737,91851020737@mail.com,
91859029877,Electa,Almond,91859029877,91859029877@mail.com,
91874429509,Araminta,Lakey,91874429509,91874429509@mail.com,
91881035947,Teressa,Kearsley,91881035947,91881035947@mail.com,
91885835721,Jane,Dundon,91885835721,91885835721@mail.com,
91888436409,Netta,Gates,91888436409,91888436409@mail.com,
91896018075,Pedro,Were,91896018075,91896018075@mail.com,
91911236360,Eber,Rossi,91911236360,91911236360@mail.com,
91913893911,Helena,Alam,91913893911,91913893911@mail.com,
91927218277,Ottis,Tonner,91927218277,91927218277@mail.com,
91936843653,Delbert,Eilers,91936843653,91936843653@mail.com,
91959282857,Wendell,Abdi,91959282857,91959282857@mail.com,
91963607669,Hassie,Dyde,91963607669,91963607669@mail.com,
91968251267,Abe,Dickson,91968251267,91968251267@mail.com,
91984287190,Marcia,Stone,91984287190,91984287190@mail.com,
92011241597,William,Pattison,92011241597,92011241597@mail.com,
92012636230,Ferd,Addley,92012636230,92012636230@mail.com,
92018602565,Mary,Eglin,92018602565,92018602565@mail.com,
92021217639,Rolla,Lame,92021217639,92021217639@mail.com,
92058663112,Leola,Will,92058663112,92058663112@mail.com,
92077694931,Bailey,Joyce,92077694931,92077694931@mail.com,
92078688045,Ella,Sterling,92078688045,92078688045@mail.com,
92086241417,Turner,Clancy,92086241417,92086241417@mail.com,
92100492390,Polly,Leeson,92100492390,92100492390@mail.com,
92119847836,Anthony,Jewkes,92119847836,92119847836@mail.com,
92136055671,Manervia,Edgell,92136055671,92136055671@mail.com,
92140421712,Eudora,Mccabe,92140421712,92140421712@mail.com,
92140833942,Missouri,Diamond,92140833942,92140833942@mail.com,
92142465889,Elliot,Oaks,92142465889,92142465889@mail.com,
