TC_No,Isim,Soyisim,Adres,Tel_no,E_posta,Part_mi
99824632595,Ophelia,Finney,OpheliaFinney,99824632595,99824632595@mail.com,True
99844651646,Milo,Vines,MiloVines,99844651646,99844651646@mail.com,True
99852882766,Lenard,Child,LenardChild,99852882766,99852882766@mail.com,True
99868232910,Ettie,Sawyer,EttieSawyer,99868232910,99868232910@mail.com,True
99868460058,Irwin,Topp,IrwinTopp,99868460058,99868460058@mail.com,True
99692083949,Owen,Addley,OwenAddley,99692083949,99692083949@mail.com,False
99711837451,Lola,Lilly,LolaLilly,99711837451,99711837451@mail.com,False
99714879580,Gracia,Wise,GraciaWise,99714879580,99714879580@mail.com,False
99733809439,Odelia,Pascoe,OdeliaPascoe,99733809439,99733809439@mail.com,False
99757289483,Emmett,Holder,EmmettHolder,99757289483,99757289483@mail.com,False
99764891827,Brad,Cheetham,BradCheetham,99764891827,99764891827@mail.com,False
99775401280,Hettie,Keith,HettieKeith,99775401280,99775401280@mail.com,False
99791881020,Victoria,Vicens,VictoriaVicens,99791881020,99791881020@mail.com,False
99816831961,June,Thackeray,JuneThackeray,99816831961,99816831961@mail.com,False
99818087007,Obie,Cunningham,ObieCunningham,99818087007,99818087007@mail.com,False
