Vtc_No,Otc_No,yakinlik
81896636866,90595699693,anne
81898015140,90620793339,anne
81927010688,90640016930,anne
81933667380,90643608404,anne
81952498999,90652273686,anne
81986478282,90699456980,anne
81988256301,90701654680,anne
82008487717,90701655266,anne
82021452180,90710698329,anne
82080678621,90721898976,anne
82088727671,90722932605,anne
82095073766,90751684938,anne
82118843977,90756086097,anne
82119624884,90764975972,anne
82162061088,90776022022,anne
82163210827,90779205471,anne
82163251183,90786654467,anne
82188793348,90793024789,anne
82204492915,90820049490,anne
82224832037,90827871180,anne
82228456503,90834482502,anne
82255008808,90840696953,anne
82255603030,90856053697,anne
82282429880,90862843210,anne
82299454161,90894424766,anne
82302673163,90931805280,anne
82332198203,90932013051,anne
82340896361,90952861644,anne
82397627820,90966804751,anne
82408440266,91000860039,anne
82431653781,91006630557,anne
82431684961,91009645783,anne
82437448885,91022218489,anne
82446484010,91098235678,anne
82452831557,91115457476,anne
82463052897,91118609653,anne
82481045354,91131496072,anne
82531681795,91150495615,anne
82532285309,91156066140,anne
82558259061,91180246261,anne
82571035123,91205277673,anne
82588221364,91206260751,anne
82613652363,91227216082,anne
82661223051,91228469870,anne
82689671450,91236836179,anne
82747456624,91244061987,anne
82817465230,91244892076,anne
82835847738,91245450772,anne
82836518704,91278265778,anne
82930628629,91286877925,anne
82938263186,91373840447,anne
82947051295,91381057074,anne
82948815432,91384006011,anne
82955820762,91391091027,anne
82964457658,91399000209,anne
82974203742,91424052223,anne
82984801952,91425630901,anne
82994852894,91456684339,anne
83009881324,91462676661,anne
83021866752,91464259071,anne
83034825010,91542986683,anne
83040880715,91586068286,anne
83058635027,91647679534,anne
83070080911,91672600859,anne
83106439197,91693851587,anne
83111657488,91733035755,anne
83172480098,91772497003,anne
83175834156,91796402260,anne
83185039761,91829614203,anne
83186480620,91838856309,anne
83189060363,91851020737,anne
83202406820,91859029877,anne
83225663975,91874429509,anne
83226065185,91881035947,anne
83246801122,91885835721,anne
83282014550,91888436409,anne
83302434462,91896018075,anne
83308257833,91911236360,anne
83314400285,91913893911,anne
83321077928,91927218277,anne
83331636353,91936843653,anne
83365033682,91959282857,anne
83366446213,91963607669,anne
83385815764,91968251267,anne
83420045185,91984287190,anne
83430867596,92011241597,anne
83442081067,92012636230,anne
83462864296,92018602565,anne
83498217863,92021217639,anne
83498435425,92058663112,anne
83498855087,92077694931,anne
83558420144,92078688045,anne
83576602445,92086241417,anne
83581699512,92100492390,anne
83598871849,92119847836,anne
83606683957,92136055671,anne
83627013568,92140421712,anne
83631437002,92140833942,anne
83675446683,92142465889,anne
83718628763,92147671701,anne
83745086239,92165445453,anne
83771492695,92167262921,anne
83780657356,92177215664,anne
83782084445,92196094727,anne
83789284864,92197866457,anne
83794463014,92216000895,anne
83830305771,92245643809,anne
83858490325,92307212289,anne
83858880575,92315239803,anne
83907874707,92358829118,anne
83912043969,92359205885,anne
83929257468,92377490739,anne
83948406349,92383059742,anne
83953041787,92391687013,anne
83961048793,92402016909,anne
83986640038,92414029099,anne
83992661749,92470463010,anne
84008462698,92494237247,anne
84009898498,92495010189,anne
84020298158,92495805212,anne
84047680223,92512605283,anne
84076806143,92530620382,anne
84084682150,92550174527,anne
84102861028,92552836835,anne
84116465130,92555041337,anne
84122004165,92561492777,anne
84126695147,92566842522,anne
84130367023,92576400775,anne
84145274161,92577076671,anne
84183282980,92597248780,anne
84215841179,92632182058,anne
84234883206,92638842607,anne
84262890645,92659663854,anne
84338228514,92665685335,anne
84342462680,92673699438,anne
84344658824,92680863298,anne
84345079011,92684038776,anne
84361655459,92716881248,anne
