TC_No,Isim,Soyisim,Tel_no,E_posta,Mezuniyet_tarihi
80450260926,Aurelia,Watkins,80450260926,80450260926@mail.com,0.0
80457280438,August,Ashley,80457280438,80457280438@mail.com,0.0
80482253156,Alexander,Tunstall,80482253156,80482253156@mail.com,0.0
80485609383,Tena,Voakes,80485609383,80485609383@mail.com,0.0
80493853592,Arther,Kelliher,80493853592,80493853592@mail.com,0.0
80508879862,Arch,Sissons,80508879862,80508879862@mail.com,0.0
80568682825,Bama,Mansell,80568682825,80568682825@mail.com,0.0
80583680594,Edmonia,Wraight,80583680594,80583680594@mail.com,0.0
80586060924,Jesus,Younge,80586060924,80586060924@mail.com,0.0
80591467965,Wallace,Tweddle,80591467965,80591467965@mail.com,0.0
80595857317,Chloe,Mackay,80595857317,80595857317@mail.com,0.0
80628487120,Richard,Eyett,80628487120,80628487120@mail.com,0.0
80628556046,Rillie,Foxley,80628556046,80628556046@mail.com,0.0
80647201766,Lovisa,Willis,80647201766,80647201766@mail.com,0.0
80660070111,Enrique,Peyton,80660070111,80660070111@mail.com,0.0
80660474467,Spencer,Nourse,80660474467,80660474467@mail.com,0.0
80677402522,Corine,Lyme,80677402522,80677402522@mail.com,0.0
80708210925,Tillie,Burton,80708210925,80708210925@mail.com,0.0
80743890690,Manie,Chapman,80743890690,80743890690@mail.com,0.0
80752875477,Catharine,Beadle,80752875477,80752875477@mail.com,0.0
80767276504,Emelia,Eden,80767276504,80767276504@mail.com,0.0
80772472700,Santos,Errington,80772472700,80772472700@mail.com,0.0
80782698840,Fayette,Snow,80782698840,80782698840@mail.com,0.0
80784099888,Lillie,Beattie,80784099888,80784099888@mail.com,0.0
80796641295,Abe,Chase,80796641295,80796641295@mail.com,0.0
80803079353,Asberry,Killen,80803079353,80803079353@mail.com,0.0
80810453531,Walton,Steele,80810453531,80810453531@mail.com,0.0
80843296636,Clinton,Snowdon,80843296636,80843296636@mail.com,0.0
80855871855,Morgan,Anton,80855871855,80855871855@mail.com,0.0
80867047655,Ottilie,Titmus,80867047655,80867047655@mail.com,0.0
80876897271,Mazie,Tutton,80876897271,80876897271@mail.com,0.0
80877280939,Wanda,Southern,80877280939,80877280939@mail.com,0.0
80881434932,Minnie,Alldritt,80881434932,80881434932@mail.com,0.0
80883876398,Albert,Duke,80883876398,80883876398@mail.com,0.0
80886832613,Vance,Ohalloran,80886832613,80886832613@mail.com,0.0
80886898485,Olin,Kidman,80886898485,80886898485@mail.com,0.0
80894801899,Henry,Hutton,80894801899,80894801899@mail.com,0.0
80905038121,Rafe,Notman,80905038121,80905038121@mail.com,0.0
80921281236,Leonidas,Leary,80921281236,80921281236@mail.com,0.0
80921460620,Jones,Hiscocks,80921460620,80921460620@mail.com,0.0
80929041084,Wes,Ashurst,80929041084,80929041084@mail.com,0.0
80947298595,Mack,Budd,80947298595,80947298595@mail.com,0.0
80949441217,Elva,Addinall,80949441217,80949441217@mail.com,0.0
80952411707,Catherine,Lennard,80952411707,80952411707@mail.com,0.0
80975056844,Tommie,Ling,80975056844,80975056844@mail.com,0.0
80978610208,Samuel,Rees,80978610208,80978610208@mail.com,0.0
81020848219,Scott,Brelsford,81020848219,81020848219@mail.com,0.0
81029213829,Frederick,Nelmes,81029213829,81029213829@mail.com,0.0
81033883344,Rowena,Elmore,81033883344,81033883344@mail.com,0.0
81053030825,Sabina,Feeney,81053030825,81053030825@mail.com,0.0
81109018140,Hillard,Mair,81109018140,81109018140@mail.com,0.0
81110232087,Alvena,Barrow,81110232087,81110232087@mail.com,0.0
81134214636,Norris,Simons,81134214636,81134214636@mail.com,0.0
81134885031,Clare,Kipling,81134885031,81134885031@mail.com,0.0
81139228846,Bird,Fairbrother,81139228846,81139228846@mail.com,0.0
81147216110,Judson,Reynolds,81147216110,81147216110@mail.com,0.0
81152136630,Aline,Dawes,81152136630,81152136630@mail.com,0.0
81165241950,Clemie,Ball,81165241950,81165241950@mail.com,0.0
81165254938,Clemente,Barnard,81165254938,81165254938@mail.com,0.0
81178471986,Handy,Kilmurry,81178471986,81178471986@mail.com,0.0
81212629258,Ocie,Allen,81212629258,81212629258@mail.com,0.0
81221229107,Freda,Keighley,81221229107,81221229107@mail.com,0.0
81223080982,Moses,Tedd,81223080982,81223080982@mail.com,0.0
81236482255,Johnie,Cronin,81236482255,81236482255@mail.com,0.0
81263641502,Israel,Leyland,81263641502,81263641502@mail.com,0.0
81301274967,Hope,Booth,81301274967,81301274967@mail.com,0.0
81304605460,Vina,Passmore,81304605460,81304605460@mail.com,0.0
81305061003,Mal,Train,81305061003,81305061003@mail.com,0.0
81340805251,Kittie,Foley,81340805251,81340805251@mail.com,0.0
81418269804,Effie,Dayman,81418269804,81418269804@mail.com,0.0
81432636376,Deborah,Crisp,81432636376,81432636376@mail.com,0.0
81439867216,Nelle,Drew,81439867216,81439867216@mail.com,0.0
81443628640,Yee,Kendall,81443628640,81443628640@mail.com,0.0
81444412399,Margie,Evison,81444412399,81444412399@mail.com,0.0
81445699319,Washington,Mcnulty,81445699319,81445699319@mail.com,0.0
81464453681,Mattie,Court,81464453681,81464453681@mail.com,0.0
81470008319,Effa,Probert,81470008319,81470008319@mail.com,0.0
81488811587,Madge,Short,81488811587,81488811587@mail.com,0.0
81522018172,Rollin,Markham,81522018172,81522018172@mail.com,0.0
81558468392,Mittie,Caddy,81558468392,81558468392@mail.com,0.0
81589073495,Jewell,Everitt,81589073495,81589073495@mail.com,0.0
81605075946,Dixie,Jeffrey,81605075946,81605075946@mail.com,0.0
81613820453,Lydia,Aslam,81613820453,81613820453@mail.com,0.0
81616561090,Colonel,Farley,81616561090,81616561090@mail.com,0.0
81661667065,Annette,Gillett,81661667065,81661667065@mail.com,0.0
81670098300,Harley,Horne,81670098300,81670098300@mail.com,0.0
81677429122,Al,Gibbs,81677429122,81677429122@mail.com,0.0
81682973366,Mont,Reddy,81682973366,81682973366@mail.com,0.0
81683401588,Elbert,Dale,81683401588,81683401588@mail.com,0.0
81683652031,Nelson,Adrol,81683652031,81683652031@mail.com,0.0
81702460328,Georgia,Isaacs,81702460328,81702460328@mail.com,0.0
81730408154,Loula,Dunnett,81730408154,81730408154@mail.com,0.0
81753297907,Malissa,Patel,81753297907,81753297907@mail.com,0.0
81762663993,Stephen,Rushby,81762663993,81762663993@mail.com,0.0
81765414852,Amelia,Lowndes,81765414852,81765414852@mail.com,0.0
81844478770,Annabel,Mckenna,81844478770,81844478770@mail.com,0.0
81860024852,Clementine,King,81860024852,81860024852@mail.com,0.0
81867875427,Adrienne,Neilson,81867875427,81867875427@mail.com,0.0
81876448786,Pearl,Strong,81876448786,81876448786@mail.com,0.0
81885420178,Vernie,Miles,81885420178,81885420178@mail.com,0.0
