TC_No,Isim,Soyisim,Adres,Tel_no,E_posta,Part_mi
99824632595,Steven,Heaton,StevenHeaton,99824632595,99824632595@mail.com,True
99844651646,Michael,Geeson,MichaelGeeson,99844651646,99844651646@mail.com,True
99852882766,Everette,Strachan,EveretteStrachan,99852882766,99852882766@mail.com,True
99868232910,Nathanial,Cassidy,NathanialCassidy,99868232910,99868232910@mail.com,True
99868460058,Stuart,Coates,StuartCoates,99868460058,99868460058@mail.com,True
99692083949,Pinkney,Walling,PinkneyWalling,99692083949,99692083949@mail.com,False
99711837451,Smith,Winder,SmithWinder,99711837451,99711837451@mail.com,False
99714879580,Loren,Auborn,LorenAuborn,99714879580,99714879580@mail.com,False
99733809439,Winfred,Harry,WinfredHarry,99733809439,99733809439@mail.com,False
99757289483,Bridget,Putt,BridgetPutt,99757289483,99757289483@mail.com,False
99764891827,Permelia,Shaughnessy,PermeliaShaughnessy,99764891827,99764891827@mail.com,False
99775401280,Herbert,Goodacre,HerbertGoodacre,99775401280,99775401280@mail.com,False
99791881020,Evert,Attard,EvertAttard,99791881020,99791881020@mail.com,False
99816831961,Otelia,Mcguire,OteliaMcguire,99816831961,99816831961@mail.com,False
99818087007,Nova,Artliff,NovaArtliff,99818087007,99818087007@mail.com,False
